"id","medianAge"
"S14000001","33.1796478663086"
"S14000002","37.7043327556326"
"S14000003","40.5600193610842"
"S14000004","45.2393272962484"
"S14000005","48.3821656050955"
"S14000006","46.7058823529412"
"S14000007","43.3509513742072"
"S14000008","48.1224699828473"
"S14000009","47.4111455108359"
"S14000010","45.9391129032258"
"S14000011","40.912399492171"
"S14000012","41.8182644252612"
"S14000013","47.9067278287462"
"S14000014","48.4024034959942"
"S14000015","42.0921773791729"
"S14000016","35.2600264433671"
"S14000017","41.9591291061879"
"S14000018","46.5512978986403"
"S14000019","43.9871537535127"
"S14000020","43.9513399153738"
"S14000021","43.2003129890454"
"S14000022","32.825936752591"
"S14000023","35.5199418363108"
"S14000024","37.0033783783784"
"S14000025","34.6621043627032"
"S14000026","40.8242470453679"
"S14000027","48.0415224913495"
"S14000028","42.8783783783784"
"S14000029","30.0179362734754"
"S14000030","38.0908296943231"
"S14000031","31.6618102913825"
"S14000032","36.1689627228525"
"S14000033","37.3066147859922"
"S14000034","38.1295499021526"
"S14000035","37.4952380952381"
"S14000036","43.3583172147002"
"S14000037","42.5132102786826"
"S14000038","45.2084721561161"
"S14000039","42.9965883244883"
"S14000040","43.5699919549477"
"S14000041","43.300460475825"
"S14000042","44.6119073869901"
"S14000043","40.8826852775008"
"S14000044","40.2516363636364"
"S14000045","41.4918404351768"
"S14000046","44.2320089955023"
"S14000047","40.2999552972731"
"S14000048","46.420300476365"
"S14000049","44.1305057096248"
"S14000050","45.5791569863923"
"S14000051","44.8626328699918"
"S14000052","42.389592760181"
"S14000053","42.9213426853707"
"S14000054","45.189229618549"
"S14000055","47.7903461725987"
"S14000056","41.3103323699422"
"S14000057","41.6200852676457"
"S14000058","43.0054813292223"
"S14000059","42.5802219979818"
