"id","medianAge"
"S14000001","33.0206222865412"
"S14000002","38.2264079147641"
"S14000003","39.1212586339217"
"S14000004","43.1775848460931"
"S14000005","45.765127103473"
"S14000006","44.2014437951186"
"S14000007","42.0662983425414"
"S14000008","45.1713529606351"
"S14000009","44.4863190500774"
"S14000010","43.156884057971"
"S14000011","39.0349315068493"
"S14000012","40.2043823196071"
"S14000013","45.4319294809011"
"S14000014","45.3026806922294"
"S14000015","41.39332247557"
"S14000016","36.8343023255814"
"S14000017","40.2422950819672"
"S14000018","44.8601134215501"
"S14000019","41.85600976205"
"S14000020","42.1333534015653"
"S14000021","42.6659870880054"
"S14000022","33.5335235378031"
"S14000023","34.516848239169"
"S14000024","37.1238361266294"
"S14000025","35.2864787727435"
"S14000026","42.1042402826855"
"S14000027","45.2679658952497"
"S14000028","40.5887981987053"
"S14000029","30.3407231459488"
"S14000030","39.4739246288542"
"S14000031","31.9259554140127"
"S14000032","36.917136659436"
"S14000033","37.8005756578947"
"S14000034","38.0135236664162"
"S14000035","38.1342915811088"
"S14000036","41.3929088277858"
"S14000037","41.3464491362764"
"S14000038","42.6274661508704"
"S14000039","41.2861347285808"
"S14000040","41.4864077669903"
"S14000041","41.7704758821625"
"S14000042","42.4922229423202"
"S14000043","39.7497830488863"
"S14000044","38.3487348734874"
"S14000045","41.4829210836278"
"S14000046","41.8814325452017"
"S14000047","39.1130931145202"
"S14000048","43.5379238028661"
"S14000049","42.730352303523"
"S14000050","42.8922261484099"
"S14000051","42.5317577548006"
"S14000052","41.4706303724928"
"S14000053","41.1899814471243"
"S14000054","43.3562781044621"
"S14000055","45.2251626898048"
"S14000056","39.6676737160121"
"S14000057","40.7698382850696"
"S14000058","41.7408272181454"
"S14000059","41.1098245614035"
