"id","medianAge"
"S14000001","32.4778138528139"
"S14000002","37.2067889192353"
"S14000003","40.3054029304029"
"S14000004","44.5907939189189"
"S14000005","47.8363220144983"
"S14000006","45.9777947932619"
"S14000007","42.9076797385621"
"S14000008","47.4583751253761"
"S14000009","46.7065972222222"
"S14000010","45.1690254751314"
"S14000011","40.5497170573969"
"S14000012","41.7019536574284"
"S14000013","47.2172701949861"
"S14000014","47.6027245949926"
"S14000015","42.1495154591601"
"S14000016","35.2828542094456"
"S14000017","41.5931321540062"
"S14000018","46.3168957154406"
"S14000019","43.5924680564896"
"S14000020","43.3927178153446"
"S14000021","43.2682745825603"
"S14000022","33.2266625991458"
"S14000023","35.0615014226308"
"S14000024","36.9136960600375"
"S14000025","34.9926305671259"
"S14000026","41.5198220064725"
"S14000027","47.259649122807"
"S14000028","42.3995257854179"
"S14000029","30.2184135354867"
"S14000030","38.9945109780439"
"S14000031","31.7811231393775"
"S14000032","36.6461731493099"
"S14000033","37.4920566766853"
"S14000034","38.2482029598309"
"S14000035","37.7585017249877"
"S14000036","43.1019160211985"
"S14000037","42.0802367642223"
"S14000038","44.538255033557"
"S14000039","42.5252595155709"
"S14000040","43.1120141342756"
"S14000041","42.9738121960344"
"S14000042","44.2057163020466"
"S14000043","40.7523722069177"
"S14000044","40.0335616438356"
"S14000045","41.8079891057649"
"S14000046","43.5596038203042"
"S14000047","40.1606612971598"
"S14000048","45.6264096034922"
"S14000049","44.2964601769912"
"S14000050","45.0795665634675"
"S14000051","44.2209856915739"
"S14000052","42.7186147186147"
"S14000053","42.7631923244658"
"S14000054","44.5724990633196"
"S14000055","47.1363203050524"
"S14000056","41.0069306930693"
"S14000057","41.5141065830721"
"S14000058","42.2973240832508"
"S14000059","42.4171806167401"
