"id","medianAge"
"S14000001","33.7317287936601"
"S14000002","38.3705270006506"
"S14000003","40.7544600938967"
"S14000004","46.0260303687635"
"S14000005","49.212356792144"
"S14000006","47.3355972832601"
"S14000007","43.9639037433155"
"S14000008","48.7743362831858"
"S14000009","47.8541114058355"
"S14000010","46.6935897435897"
"S14000011","40.9309648768672"
"S14000012","42.194495412844"
"S14000013","48.637109375"
"S14000014","49.2642045454545"
"S14000015","42.0477657935285"
"S14000016","35.1199500208247"
"S14000017","42.1287284144427"
"S14000018","46.9021071115013"
"S14000019","44.0460905349794"
"S14000020","44.1331096196868"
"S14000021","43.2065397350993"
"S14000022","32.6699123661149"
"S14000023","35.9463993453355"
"S14000024","37.4539559014267"
"S14000025","34.8867713004484"
"S14000026","40.4939226519337"
"S14000027","48.9861809045226"
"S14000028","43.3258162234938"
"S14000029","30.0370982552801"
"S14000030","37.8477289650037"
"S14000031","31.8809040857722"
"S14000032","35.9441607082056"
"S14000033","37.4286775631501"
"S14000034","38.3363363363363"
"S14000035","37.4745222929936"
"S14000036","43.4451282051282"
"S14000037","42.9465930018416"
"S14000038","45.6633663366337"
"S14000039","43.6549375709421"
"S14000040","43.9011652999569"
"S14000041","43.6523500810373"
"S14000042","45.0477299185099"
"S14000043","41.0729513657562"
"S14000044","40.5103092783505"
"S14000045","41.0535211267606"
"S14000046","44.8440016956337"
"S14000047","40.4894425675676"
"S14000048","47.2704402515723"
"S14000049","44.4221453287197"
"S14000050","46.1127499180597"
"S14000051","45.5512820512821"
"S14000052","41.9083414161009"
"S14000053","42.9206527855937"
"S14000054","45.8245923314235"
"S14000055","48.2588235294118"
"S14000056","41.4294549671434"
"S14000057","41.8337372758119"
"S14000058","43.72305331799"
"S14000059","42.8001022494887"
