"id","age"
"E14000530",39.2
"E14000531",46.2
"E14000532",42.1
"E14000533",45.1
"E14000534",50.6
"E14000535",43.1
"E14000536",41.6
"E14000537",39.3
"E14000538",38.6
"E14000539",40.5
"E14000540",32.1
"E14000541",41.1
"E14000542",41.8
"E14000543",46.5
"E14000544",39.3
"E14000545",38.5
"E14000546",45.4
"E14000547",32.4
"E14000548",39.2
"E14000549",33.4
"E14000550",45.6
"E14000551",42.4
"E14000552",38.9
"E14000553",32.6
"E14000554",52.1
"E14000555",31.2
"E14000556",50.4
"E14000557",51.8
"E14000558",38.8
"E14000559",40.1
"E14000560",32.9
"E14000561",34.7
"E14000562",32.5
"E14000563",28.7
"E14000564",27.9
"E14000565",37.1
"E14000566",33.5
"E14000567",31
"E14000568",33.5
"E14000569",46.3
"E14000570",34.7
"E14000571",32.2
"E14000572",46.8
"E14000573",42.2
"E14000574",46.3
"E14000575",44.5
"E14000576",47.1
"E14000577",44.3
"E14000578",38.7
"E14000579",35.9
"E14000580",42.9
"E14000581",40.2
"E14000582",45.5
"E14000583",45
"E14000584",40.5
"E14000585",38.1
"E14000586",39.5
"E14000587",32.2
"E14000588",36.5
"E14000589",31.3
"E14000590",44.3
"E14000591",34.6
"E14000592",36.7
"E14000593",37
"E14000594",44
"E14000595",47.9
"E14000596",47.1
"E14000597",37.8
"E14000598",32
"E14000599",35.7
"E14000600",36.2
"E14000601",34.4
"E14000602",28.3
"E14000603",48.7
"E14000604",39.7
"E14000605",45.5
"E14000606",40.6
"E14000607",42.6
"E14000608",45.3
"E14000609",40
"E14000610",40.7
"E14000611",41.4
"E14000612",39.4
"E14000613",45.3
"E14000614",45.8
"E14000615",34.2
"E14000616",44.8
"E14000617",30
"E14000618",42.6
"E14000619",34.9
"E14000620",43.3
"E14000621",38.9
"E14000622",46.9
"E14000623",49.2
"E14000624",47.4
"E14000625",44
"E14000626",38.1
"E14000627",45
"E14000628",39.4
"E14000629",37.7
"E14000630",40
"E14000631",45.4
"E14000632",44.8
"E14000633",49
"E14000634",40.1
"E14000635",45.6
"E14000636",40.5
"E14000637",43
"E14000638",53.9
"E14000639",36.7
"E14000640",41.1
"E14000641",36.3
"E14000642",52.9
"E14000643",47.1
"E14000644",34.8
"E14000645",43.4
"E14000646",48.1
"E14000647",48
"E14000648",40.8
"E14000649",32.8
"E14000650",35.1
"E14000651",29
"E14000652",37.5
"E14000653",42.3
"E14000654",37
"E14000655",36.1
"E14000656",40.6
"E14000657",35.2
"E14000658",42.2
"E14000659",37.8
"E14000660",45.5
"E14000661",40.7
"E14000662",37.1
"E14000663",34.6
"E14000664",51.2
"E14000665",40.9
"E14000666",39.8
"E14000667",44
"E14000668",39.2
"E14000669",41.4
"E14000670",45.7
"E14000671",39.8
"E14000672",41.9
"E14000673",35.1
"E14000674",36.4
"E14000675",37.2
"E14000676",37.9
"E14000677",43.2
"E14000678",48.6
"E14000679",32.8
"E14000680",46.6
"E14000681",43.2
"E14000682",45
"E14000683",50.8
"E14000684",46.6
"E14000685",41.2
"E14000686",47.1
"E14000687",34.5
"E14000688",44.9
"E14000689",46.1
"E14000690",38.4
"E14000691",36
"E14000692",38.9
"E14000693",41.4
"E14000694",42.9
"E14000695",42.7
"E14000696",35.3
"E14000697",42.9
"E14000698",32.8
"E14000699",45.8
"E14000700",43.9
"E14000701",35.8
"E14000702",37.3
"E14000703",37.3
"E14000704",47.5
"E14000705",48.4
"E14000706",49.8
"E14000707",48.2
"E14000708",41.4
"E14000709",37.5
"E14000710",43
"E14000711",38.8
"E14000712",38.7
"E14000713",44.5
"E14000714",45.3
"E14000715",39.7
"E14000716",38.9
"E14000717",45.9
"E14000718",33.4
"E14000719",35.9
"E14000720",33.1
"E14000721",33.5
"E14000722",41.2
"E14000723",38.9
"E14000724",48.8
"E14000725",40.7
"E14000726",34.9
"E14000727",35.9
"E14000728",44
"E14000729",38.4
"E14000730",46.7
"E14000731",38.5
"E14000732",36.8
"E14000733",41.7
"E14000734",46.7
"E14000735",45.7
"E14000736",45.4
"E14000737",34.5
"E14000738",46.5
"E14000739",39.1
"E14000740",42.5
"E14000741",35.1
"E14000742",47
"E14000743",44.4
"E14000744",41.6
"E14000745",40.9
"E14000746",50.8
"E14000747",40.2
"E14000748",46.1
"E14000749",42.3
"E14000750",32.7
"E14000751",40.6
"E14000752",37.5
"E14000753",43.4
"E14000754",43.9
"E14000755",38.9
"E14000756",36.4
"E14000757",42.4
"E14000758",39.8
"E14000759",37.4
"E14000760",33.3
"E14000761",37.8
"E14000762",50.6
"E14000763",32.6
"E14000764",31.4
"E14000765",43.6
"E14000766",42.8
"E14000767",46.8
"E14000768",39.3
"E14000769",41.2
"E14000770",37.4
"E14000771",38.6
"E14000772",32.9
"E14000773",38.1
"E14000774",40.9
"E14000775",38.9
"E14000776",36.8
"E14000777",27.2
"E14000778",34.7
"E14000779",38.4
"E14000780",32.3
"E14000781",34.2
"E14000782",35.7
"E14000783",28.5
"E14000784",31.6
"E14000785",42
"E14000786",49
"E14000787",36.8
"E14000788",36.9
"E14000789",33.5
"E14000790",34.9
"E14000791",46.9
"E14000792",34.4
"E14000793",28.4
"E14000794",37.8
"E14000795",35.5
"E14000796",38.6
"E14000797",35.2
"E14000798",52.8
"E14000799",52.4
"E14000800",36.7
"E14000801",33.7
"E14000802",47.8
"E14000803",42.9
"E14000804",40.9
"E14000805",43.1
"E14000806",47.9
"E14000807",27.5
"E14000808",29.3
"E14000809",32
"E14000810",42.1
"E14000811",47.6
"E14000812",42.5
"E14000813",42.2
"E14000814",47.3
"E14000815",48.2
"E14000816",47.4
"E14000817",43.3
"E14000818",47
"E14000819",33.7
"E14000820",45.6
"E14000821",37.8
"E14000822",38.1
"E14000823",36.8
"E14000824",47.6
"E14000825",45.6
"E14000826",41.5
"E14000827",48
"E14000828",53.8
"E14000829",46.2
"E14000830",42.9
"E14000831",30.5
"E14000832",28.4
"E14000833",41.5
"E14000834",39.7
"E14000835",49.2
"E14000836",40.8
"E14000837",48.5
"E14000838",48
"E14000839",49.1
"E14000840",45
"E14000841",42.2
"E14000842",44.6
"E14000843",47.8
"E14000844",44.2
"E14000845",43.9
"E14000846",43.7
"E14000847",50.2
"E14000848",54.9
"E14000849",46.9
"E14000850",47.3
"E14000851",40.8
"E14000852",46.2
"E14000853",42
"E14000854",44
"E14000855",40.1
"E14000856",45.5
"E14000857",44.1
"E14000858",43.9
"E14000859",47.9
"E14000860",45.8
"E14000861",39
"E14000862",36.5
"E14000863",41.3
"E14000864",33.5
"E14000865",29.3
"E14000866",35.1
"E14000867",27.1
"E14000868",40.8
"E14000869",41.1
"E14000870",37.9
"E14000871",35.6
"E14000872",43.3
"E14000873",28.3
"E14000874",40.5
"E14000875",39.7
"E14000876",47.6
"E14000877",50.6
