"id","age"
"E14000530",38
"E14000531",45.4
"E14000532",42
"E14000533",44.3
"E14000534",49.2
"E14000535",42.9
"E14000536",41.4
"E14000537",39.9
"E14000538",38.6
"E14000539",40.1
"E14000540",31.4
"E14000541",41.5
"E14000542",41.9
"E14000543",45.5
"E14000544",39.7
"E14000545",37.5
"E14000546",44.5
"E14000547",34.1
"E14000548",38.4
"E14000549",32.8
"E14000550",44.7
"E14000551",42.2
"E14000552",37.5
"E14000553",31.5
"E14000554",50
"E14000555",30.1
"E14000556",48.3
"E14000557",50.6
"E14000558",38.8
"E14000559",39.7
"E14000560",33.5
"E14000561",35
"E14000562",31.9
"E14000563",28.6
"E14000564",27.5
"E14000565",37.1
"E14000566",33
"E14000567",32.3
"E14000568",33.9
"E14000569",45.3
"E14000570",34.1
"E14000571",31.8
"E14000572",45.7
"E14000573",42.6
"E14000574",44.9
"E14000575",43.8
"E14000576",46.2
"E14000577",43.7
"E14000578",39
"E14000579",35.9
"E14000580",42.7
"E14000581",40.6
"E14000582",45
"E14000583",44.5
"E14000584",39.3
"E14000585",37.5
"E14000586",38.7
"E14000587",31.6
"E14000588",36
"E14000589",30
"E14000590",43.2
"E14000591",33.6
"E14000592",35
"E14000593",35.5
"E14000594",43.9
"E14000595",46.5
"E14000596",45.6
"E14000597",38.2
"E14000598",32.7
"E14000599",36
"E14000600",36.4
"E14000601",35
"E14000602",28.5
"E14000603",47.5
"E14000604",39
"E14000605",45.4
"E14000606",40.6
"E14000607",42.6
"E14000608",44.9
"E14000609",40
"E14000610",40.7
"E14000611",41.4
"E14000612",39.9
"E14000613",43.8
"E14000614",44.6
"E14000615",33.3
"E14000616",44.5
"E14000617",31.2
"E14000618",42.2
"E14000619",35.1
"E14000620",42.3
"E14000621",38
"E14000622",46.6
"E14000623",48.1
"E14000624",45.9
"E14000625",44.3
"E14000626",37.6
"E14000627",44.9
"E14000628",39.2
"E14000629",36.1
"E14000630",38.9
"E14000631",44.7
"E14000632",43.9
"E14000633",47.7
"E14000634",39.5
"E14000635",43.8
"E14000636",39.4
"E14000637",42.5
"E14000638",53.2
"E14000639",36.5
"E14000640",40.6
"E14000641",37.8
"E14000642",51.7
"E14000643",45.5
"E14000644",34.6
"E14000645",42.5
"E14000646",46.9
"E14000647",46.4
"E14000648",40.8
"E14000649",32.8
"E14000650",35.6
"E14000651",30.7
"E14000652",36.3
"E14000653",41.6
"E14000654",35.9
"E14000655",34.6
"E14000656",39.9
"E14000657",35.6
"E14000658",41.6
"E14000659",38.2
"E14000660",45.4
"E14000661",41.1
